"id","class","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"1415","e","f","f","p","f","l","a","w","b","n","e","c","f","f","b","w","p","w","o","e","n","c","g"
"1416","e","f","f","n","t","c","d","w","b","y","t","r","s","y","c","c","p","o","t","e","k","a","m"
"1417","e","x","y","w","t","l","a","d","b","r","e","r","f","f","w","p","p","n","t","p","n","y","p"
"1418","e","x","s","n","f","n","d","c","b","o","e","e","y","s","w","e","p","w","b","l","k","a","p"
"1419","e","x","s","n","f","m","a","w","b","u","e","u","f","f","w","w","p","n","t","e","n","s","g"
"1420","e","c","s","w","f","p","f","w","b","k","t","e","f","s","w","w","p","o","o","e","k","c","d"
"1421","p","x","g","c","t","p","f","d","n","w","e","e","s","y","y","y","p","w","o","p","n","n","u"
"1422","e","s","y","b","f","m","f","d","n","p","t","e","k","f","p","p","u","w","o","p","o","s","g"
"1423","e","x","s","n","f","n","n","c","b","n","t","e","s","s","g","g","u","y","b","s","h","s","d"
"1424","e","f","f","g","t","n","a","w","b","n","e","b","f","f","e","w","p","n","b","e","u","s","w"
"1425","e","x","s","r","f","c","n","w","n","b","t","u","s","s","c","c","u","w","o","z","b","a","g"
"1426","e","f","y","p","f","l","f","w","b","p","t","e","s","s","b","b","p","w","o","e","n","a","w"
"1427","e","f","s","n","f","a","n","w","n","p","t","b","s","s","w","n","p","y","b","s","k","a","g"
"1428","e","x","s","w","t","n","d","d","b","u","e","e","f","f","y","w","p","o","t","e","k","s","g"
"1429","e","k","y","n","f","l","n","w","n","n","e","r","s","s","w","w","u","y","o","p","w","s","d"
"1430","p","f","g","p","t","p","d","c","b","p","e","e","y","s","e","w","p","o","b","p","u","v","u"
"1431","e","x","s","b","f","n","a","d","b","p","e","e","s","f","w","w","p","n","o","e","o","s","g"
"1432","e","x","f","n","t","m","f","d","n","p","t","r","s","s","w","w","u","w","t","p","o","v","d"
"1433","p","c","g","w","t","f","f","w","n","w","e","e","s","s","o","o","p","o","o","p","k","c","g"
"1434","p","f","f","w","t","a","f","c","b","p","e","e","s","s","n","n","p","w","b","c","k","s","w"
"1435","p","s","g","n","t","c","d","c","b","y","e","e","y","s","w","w","p","w","o","p","b","y","u"
"1436","e","b","y","n","f","n","f","c","n","u","t","b","k","k","g","e","u","w","b","p","u","y","d"
"1437","e","b","y","e","t","a","f","c","b","h","e","e","s","s","n","n","p","o","b","p","k","n","g"
"1438","p","f","y","p","t","p","f","c","n","k","t","e","s","s","n","w","p","w","b","p","k","s","g"
"1439","e","s","f","g","f","n","f","d","n","y","t","r","s","s","p","p","p","y","t","s","k","a","g"
"1440","e","b","s","u","f","n","d","c","b","k","t","b","y","y","e","e","p","w","b","l","n","a","p"
"1441","e","x","f","e","t","n","a","w","b","p","t","c","s","f","g","p","p","n","o","e","w","y","d"
"1442","e","x","s","r","f","p","n","w","b","h","t","e","s","s","w","w","u","w","o","s","w","v","d"
"1443","e","f","f","p","t","n","d","d","b","p","e","e","y","y","y","y","p","w","t","e","y","s","u"
"1444","e","b","f","u","f","y","n","w","n","o","t","e","f","s","g","g","u","w","b","s","n","a","p"
"1445","p","f","g","e","t","p","d","c","n","p","e","e","s","y","w","n","p","o","o","p","n","s","u"
"1446","p","s","y","g","t","m","f","d","b","y","e","r","f","s","p","w","p","w","o","p","k","v","d"
"1447","e","b","s","n","f","n","n","w","b","k","t","e","s","s","w","w","p","y","b","z","k","s","m"
"1448","e","f","f","w","f","n","d","w","b","p","t","u","f","y","w","y","p","o","o","f","n","s","d"
"1449","e","x","f","n","f","c","f","c","b","b","t","u","s","k","c","c","u","w","t","n","k","n","u"
"1450","e","f","s","g","f","n","f","c","n","h","t","e","f","s","n","w","u","w","o","e","n","s","g"
"1451","e","f","f","n","f","n","f","c","b","h","t","e","f","k","w","w","p","w","b","p","k","a","u"
"1452","p","f","f","r","t","s","f","c","n","k","e","u","f","s","w","w","p","n","o","c","y","n","l"
"1453","e","x","f","e","f","n","f","d","b","y","t","r","f","k","w","w","u","w","t","e","n","a","g"
"1454","p","c","f","n","t","f","a","c","n","p","e","c","s","f","o","w","p","w","o","c","n","c","p"
"1455","e","s","s","g","t","n","f","w","b","r","e","r","f","f","w","c","p","n","o","e","b","a","p"
"1456","e","f","s","w","f","n","n","w","n","p","t","e","f","s","e","e","u","w","b","z","k","s","g"
"1457","e","x","s","n","f","c","f","w","b","n","t","u","s","s","w","c","u","y","t","s","b","n","g"
"1458","e","s","f","b","t","c","f","c","b","n","t","b","s","f","c","p","p","n","t","e","b","y","m"
"1459","e","x","s","n","f","n","f","w","n","h","t","u","f","s","y","y","u","w","o","e","n","s","g"
"1460","p","s","f","p","t","m","f","d","n","r","e","e","f","f","p","p","p","n","t","c","o","s","u"
"1461","e","b","f","w","t","n","a","c","b","p","t","b","s","f","g","g","p","w","b","e","n","a","d"
"1462","e","x","f","w","f","n","f","w","b","n","e","u","y","f","w","w","p","o","o","f","k","n","m"
"1463","e","k","y","w","f","n","f","w","b","k","t","z","k","k","w","w","u","w","o","e","w","s","m"
"1464","e","k","s","w","t","p","d","w","n","n","t","b","s","y","w","w","p","o","o","p","u","v","d"
"1465","e","x","f","b","f","n","f","w","b","h","e","e","f","f","n","w","p","n","o","c","n","s","g"
"1466","e","x","y","n","f","f","f","w","n","w","t","z","s","k","g","w","u","w","o","p","r","v","d"
"1467","e","x","f","u","t","y","f","c","b","k","t","b","s","s","g","g","p","w","b","p","h","a","m"
"1468","e","k","s","w","t","p","f","w","n","g","t","b","k","s","w","w","u","w","o","p","u","v","m"
"1469","e","s","f","b","f","n","f","d","b","k","t","b","s","s","e","w","p","w","b","e","u","a","g"
"1470","e","x","g","n","t","n","d","c","b","e","e","e","y","s","e","e","p","o","b","e","k","s","g"
"1471","e","c","y","b","t","f","n","w","b","u","t","b","s","s","o","o","u","y","o","s","r","c","m"
"1472","e","f","s","g","t","f","d","w","b","p","e","c","y","f","w","o","p","o","o","e","r","c","g"
"1473","p","f","s","b","f","y","f","c","n","e","e","e","s","s","w","w","p","w","b","p","h","s","g"
"1474","e","b","s","n","f","a","n","c","b","o","t","b","s","s","w","w","u","w","b","z","k","a","g"
"1475","e","s","y","y","f","m","f","w","b","h","t","r","k","s","p","w","u","w","t","e","n","a","g"
"1476","e","s","s","g","f","c","n","d","n","r","t","r","s","s","w","c","u","y","t","z","b","y","d"
"1477","e","f","f","n","f","n","a","d","b","p","t","r","f","f","w","p","p","w","o","c","o","a","g"
"1478","e","x","y","g","f","n","f","w","n","k","t","u","s","f","w","w","p","w","t","z","b","n","g"
"1479","p","k","y","w","f","p","f","w","n","g","e","z","s","s","b","w","u","w","o","p","n","s","d"
"1480","e","x","s","u","f","n","n","d","b","u","t","u","s","s","p","p","p","y","o","s","o","s","g"
"1481","e","c","g","n","f","f","d","w","b","k","e","e","y","f","o","w","p","o","o","e","r","c","g"
"1482","e","x","s","p","f","n","n","w","b","p","t","c","f","s","b","w","p","y","o","e","n","s","p"
"1483","e","b","f","g","f","y","d","c","b","p","e","e","s","y","g","g","p","w","o","f","h","s","g"
"1484","e","x","s","y","f","n","f","c","b","e","t","e","k","s","w","w","p","w","b","e","u","s","d"
"1485","e","x","y","y","t","c","f","c","b","u","e","r","s","f","w","c","p","w","t","c","b","n","p"
"1486","p","x","g","n","t","c","d","d","b","r","e","r","y","y","c","w","p","o","t","p","k","y","d"
"1487","e","x","f","w","f","n","n","d","n","u","t","e","s","s","p","p","p","w","o","s","o","a","g"
"1488","e","c","s","y","f","l","n","w","b","p","t","c","f","f","b","b","u","w","o","z","n","s","l"
"1489","e","f","f","g","t","n","f","w","b","h","t","e","s","f","w","w","p","n","b","c","n","s","g"
"1490","p","f","y","w","t","l","f","c","n","g","t","z","s","s","w","b","p","w","o","p","n","v","g"
"1491","e","x","f","c","t","n","d","w","b","u","t","u","f","s","y","w","p","o","o","e","k","s","p"
"1492","p","c","f","e","t","l","a","w","b","p","e","e","s","f","b","b","p","n","o","p","n","c","u"
"1493","e","f","f","w","f","n","a","w","b","g","t","z","f","f","w","w","p","w","o","e","w","v","g"
"1494","e","x","s","g","f","n","f","w","n","p","t","e","f","s","w","w","u","y","t","e","b","s","u"
"1495","e","b","f","n","t","n","f","c","b","n","e","e","s","s","n","n","p","w","o","e","k","a","l"
"1496","e","f","y","n","f","n","f","c","b","o","t","e","s","k","g","w","u","w","o","e","k","a","g"
"1497","e","f","g","w","f","a","d","w","b","k","t","b","y","y","n","w","p","o","b","e","k","s","g"
"1498","e","c","f","w","f","p","a","w","b","n","e","c","f","f","w","w","p","n","o","e","w","s","g"
"1499","e","x","f","n","t","c","a","d","b","k","t","u","f","f","w","c","p","n","o","e","k","n","u"
"1500","e","x","s","g","f","m","n","d","n","p","t","u","s","s","p","p","u","w","o","e","o","s","g"
"1501","e","f","y","n","f","y","f","w","b","p","e","e","s","y","w","w","p","o","o","e","n","a","g"
"1502","e","b","y","y","f","a","f","w","n","n","e","c","s","s","w","w","p","w","o","p","n","c","l"
"1503","e","f","f","g","t","s","a","d","b","k","t","r","s","f","w","y","p","n","o","c","n","s","g"
"1504","e","s","s","p","f","s","n","d","n","r","t","r","s","s","y","y","p","y","t","s","y","y","l"
"1505","e","f","g","b","f","p","d","w","b","n","e","e","f","f","w","w","p","w","o","e","n","a","g"
"1506","e","b","f","w","t","y","f","c","b","p","t","b","y","y","g","g","p","w","o","l","h","a","d"
"1507","p","k","s","u","t","p","f","c","n","w","t","z","s","s","w","b","p","y","o","s","k","v","u"
"1508","e","x","f","c","t","n","f","c","n","b","t","u","k","k","p","p","p","w","t","p","o","n","d"
"1509","e","b","f","w","f","n","f","w","n","h","t","b","f","k","w","w","p","w","o","e","k","a","w"
"1510","e","k","g","r","t","p","d","w","b","g","t","z","y","y","w","w","p","w","o","p","k","v","d"
"1511","e","k","g","w","t","n","f","w","b","w","e","e","f","s","b","w","p","o","o","f","n","a","g"
"1512","e","f","g","g","f","n","f","c","b","h","e","e","s","y","e","e","p","o","b","e","u","s","w"
"1513","e","f","y","y","f","n","n","w","b","w","t","z","s","s","w","b","p","w","o","e","k","a","w"
"1514","e","x","y","y","t","a","f","d","n","g","e","u","k","k","w","p","p","w","o","p","k","n","d"
"1515","e","s","g","b","t","a","d","d","b","p","t","r","y","s","p","w","p","w","o","p","o","y","p"
"1516","e","f","f","g","t","y","a","w","b","h","e","e","f","f","w","g","p","w","b","e","h","s","g"
"1517","e","s","y","p","f","m","f","w","n","y","t","r","s","f","w","p","p","w","o","e","o","a","d"
"1518","e","k","f","n","f","f","f","w","b","n","e","e","y","f","o","o","p","o","o","f","n","s","g"
"1519","e","b","y","w","t","c","f","c","b","g","e","u","y","s","c","w","p","w","o","l","k","n","g"
"1520","e","x","f","n","f","n","f","c","b","h","t","e","f","k","g","g","u","w","o","n","k","s","p"
"1521","e","s","y","b","f","m","n","d","n","y","e","c","s","s","p","w","u","y","t","p","n","y","m"
"1522","e","x","s","w","f","n","a","d","b","b","e","e","f","f","y","y","p","n","o","e","y","s","g"
"1523","e","x","g","w","t","n","d","d","b","k","e","u","y","s","p","p","p","w","o","f","n","a","g"
"1524","e","x","s","n","f","n","n","c","n","n","t","b","f","s","n","w","u","y","o","s","n","a","g"
"1525","e","s","s","n","f","n","n","w","n","n","t","r","s","s","w","w","u","y","t","z","b","y","g"
"1526","e","k","y","n","f","l","f","w","n","w","t","z","f","k","w","w","u","w","o","n","n","v","g"
"1527","e","b","s","c","t","n","n","c","b","w","t","b","s","s","n","w","u","y","o","p","n","a","d"
"1528","e","f","g","y","f","n","d","c","b","h","e","e","y","y","n","n","p","w","o","f","k","s","g"
"1529","e","x","s","r","t","l","f","w","b","w","t","z","s","s","b","b","p","w","o","z","n","n","m"
"1530","e","s","y","b","f","n","f","d","n","r","t","r","k","k","y","w","u","w","t","e","k","a","g"
"1531","p","f","y","w","t","s","n","d","n","b","t","e","s","s","w","y","u","y","t","p","k","n","u"
"1532","e","b","g","u","t","n","f","c","b","h","e","b","y","y","n","w","p","o","b","e","n","s","g"
"1533","p","f","f","g","t","c","f","d","n","n","e","r","f","s","w","c","p","w","o","c","n","y","u"
"1534","e","f","s","g","f","n","f","c","n","h","t","e","s","s","e","e","u","w","b","e","k","a","g"
"1535","e","x","f","r","t","c","a","w","b","u","e","u","f","f","c","w","p","n","o","e","b","n","g"
"1536","p","x","s","w","f","p","f","c","n","h","t","e","k","s","w","e","p","w","b","n","u","s","g"
"1537","e","x","s","c","f","n","n","c","b","k","t","b","s","s","w","g","p","w","o","e","h","y","w"
"1538","p","x","y","b","f","p","f","d","n","y","t","e","s","k","w","c","u","w","t","p","b","y","u"
"1539","e","x","f","u","t","n","a","w","b","u","e","u","f","f","p","p","p","n","o","e","n","s","w"
"1540","e","f","s","e","f","n","n","w","b","n","t","c","s","s","o","o","p","w","o","e","k","c","g"
"1541","p","b","y","w","t","p","f","c","n","o","e","e","y","y","w","e","p","o","o","l","u","v","w"
"1542","e","s","f","w","t","s","a","d","b","y","t","r","s","f","y","y","p","n","o","e","k","y","w"
"1543","e","k","y","u","f","n","f","w","b","h","t","e","s","k","o","o","u","w","o","e","r","a","l"
"1544","e","x","f","w","f","c","n","w","n","b","t","e","s","f","c","c","p","w","t","s","n","n","g"
"1545","e","f","g","w","t","n","d","c","b","e","t","e","y","s","n","n","p","o","o","e","k","s","g"
"1546","e","x","y","c","t","y","f","c","b","u","t","b","s","s","g","g","p","n","b","p","k","a","d"
"1547","p","f","s","g","f","p","n","d","n","y","e","r","s","s","p","p","u","w","t","z","k","y","w"
"1548","e","f","f","g","f","n","f","c","b","o","t","b","y","s","e","e","p","w","b","e","u","a","g"
"1549","e","x","y","y","t","a","f","c","b","n","e","c","y","y","w","w","p","o","o","n","k","n","d"
"1550","e","x","g","n","f","n","d","d","b","r","e","r","s","y","c","w","p","w","o","e","b","a","g"
"1551","e","f","f","n","f","n","f","w","b","b","t","e","f","f","w","c","p","n","o","e","b","a","l"
"1552","e","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","u","w","o","p","k","n","m"
"1553","e","b","f","n","t","n","f","w","b","o","e","b","s","f","w","n","p","w","b","e","k","a","p"
"1554","e","c","f","w","f","n","f","w","b","n","t","c","f","f","w","o","p","n","o","e","k","c","u"
"1555","e","f","s","n","f","n","n","w","b","h","t","e","s","s","w","e","u","y","b","e","u","s","g"
"1556","p","b","s","n","t","n","f","c","n","w","e","b","y","s","e","e","p","o","b","p","u","a","u"
"1557","e","x","s","w","t","m","a","d","b","b","e","u","f","f","w","p","p","n","o","c","o","n","w"
"1558","e","x","y","y","t","a","f","d","b","w","e","u","f","f","w","c","p","w","t","c","b","n","u"
"1559","e","k","g","g","f","p","d","w","b","g","t","z","y","f","w","w","p","o","o","e","n","v","m"
"1560","e","f","s","n","f","n","n","w","b","h","t","e","s","s","o","w","u","w","o","z","k","s","g"
"1561","e","f","f","e","f","n","n","w","b","e","t","e","f","s","w","n","u","w","b","s","k","s","g"
"1562","e","f","s","n","f","n","f","d","b","b","t","r","f","f","p","p","p","n","t","e","o","y","g"
"1563","e","x","f","g","t","n","f","w","b","h","t","e","y","y","w","e","p","o","o","e","k","s","p"
"1564","e","f","f","y","f","n","f","c","n","p","t","e","s","k","e","g","u","w","o","n","u","s","d"
"1565","e","b","y","w","f","l","f","w","n","p","t","c","s","s","b","w","u","y","o","p","n","c","m"
"1566","e","x","f","c","t","c","f","d","b","n","t","u","s","s","c","c","p","n","t","p","n","n","l"
"1567","p","x","g","n","t","p","d","d","n","u","e","e","s","y","c","c","p","o","t","l","k","n","m"
"1568","e","f","s","w","f","n","f","w","n","e","t","e","s","s","g","g","u","y","o","s","n","s","g"
"1569","p","s","s","y","t","p","f","c","b","r","e","e","s","f","p","w","p","w","t","p","o","y","u"
"1570","e","b","s","n","f","n","f","c","n","n","t","b","s","s","e","e","u","w","b","z","u","a","m"
"1571","e","f","f","n","f","n","f","w","b","o","t","b","y","y","w","w","p","w","b","l","u","a","p"
"1572","e","x","f","w","f","s","f","w","b","b","t","e","k","f","w","y","u","w","t","e","k","n","d"
"1573","e","x","f","u","f","c","f","d","b","u","t","u","f","s","c","w","p","n","o","e","n","a","g"
"1574","e","x","g","n","t","s","d","w","b","n","e","u","y","f","w","y","p","w","t","n","n","y","m"
"1575","e","x","g","y","t","n","f","c","b","h","e","e","y","y","e","e","p","o","b","f","u","s","g"
"1576","e","b","s","w","f","a","n","c","b","k","t","e","s","s","n","n","p","w","b","e","k","a","g"
"1577","e","x","s","u","f","n","n","c","n","k","t","e","s","s","g","w","u","y","b","s","k","s","p"
"1578","p","x","g","n","t","a","f","c","b","k","e","b","s","y","n","w","p","o","o","p","k","v","p"
"1579","e","f","s","g","f","p","f","w","b","p","t","c","s","f","w","w","p","w","o","e","w","c","g"
"1580","p","f","s","n","t","p","f","d","n","u","t","u","s","s","c","c","p","y","o","p","b","n","g"
"1581","e","f","s","e","f","c","f","d","n","n","t","e","s","s","c","w","u","w","o","s","b","a","l"
"1582","e","x","f","w","t","a","a","c","b","o","t","b","s","s","n","w","p","w","o","c","k","a","p"
"1583","e","x","f","g","f","n","f","d","n","r","t","e","s","s","p","p","p","y","t","z","o","y","g"
"1584","p","f","s","w","f","p","n","w","n","g","e","e","s","s","w","w","u","w","o","p","n","v","u"
"1585","e","b","s","u","f","n","f","w","b","h","e","b","s","f","w","w","p","n","o","e","k","a","g"
"1586","p","x","s","b","t","p","f","w","n","n","t","e","s","s","w","w","u","w","o","s","w","v","u"
"1587","e","c","s","n","f","n","n","w","b","p","t","z","s","s","o","g","p","y","o","p","r","v","d"
"1588","e","x","f","g","t","n","f","w","b","r","e","r","f","f","y","y","p","w","t","c","n","s","g"
"1589","e","s","y","g","t","s","a","d","b","y","e","r","f","f","w","y","p","w","t","c","y","s","p"
"1590","e","f","f","n","f","s","f","d","b","u","t","u","f","f","w","w","p","w","t","e","k","s","g"
"1591","e","x","g","r","t","c","f","w","b","p","e","u","s","f","c","c","p","w","o","l","b","n","m"
"1592","e","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","u","w","o","s","w","c","g"
"1593","e","f","s","g","f","a","n","c","n","e","t","e","s","s","n","n","u","w","b","e","k","s","g"
"1594","e","k","y","w","f","f","f","w","n","g","t","e","s","f","o","o","u","w","o","e","r","v","g"
"1595","e","x","f","g","t","n","a","w","b","o","t","e","f","f","e","w","p","w","b","e","u","s","m"
"1596","e","x","s","n","f","m","n","d","b","k","t","e","s","s","p","p","p","y","o","e","o","n","g"
"1597","e","x","f","g","t","p","d","w","b","w","t","b","y","s","w","w","p","w","o","f","w","v","d"
"1598","e","c","s","b","f","f","n","w","b","n","t","c","s","s","w","o","p","y","o","z","k","a","g"
"1599","e","f","s","g","f","y","f","c","b","h","t","e","s","s","g","w","u","y","b","z","h","s","g"
"1600","e","x","f","y","t","n","a","c","b","w","e","e","f","f","w","e","p","w","b","p","u","s","u"
"1601","e","k","g","g","t","p","f","c","b","g","t","b","y","y","w","g","p","w","o","p","w","y","p"
"1602","e","f","s","g","t","n","a","w","b","h","e","e","f","f","n","w","p","w","b","c","k","a","g"
"1603","e","f","f","u","f","n","f","w","n","k","t","z","s","k","w","o","p","w","o","e","r","s","g"
"1604","e","c","f","p","t","l","f","w","b","p","t","c","f","f","w","b","p","n","o","c","n","v","g"
"1605","e","f","y","w","f","f","f","w","n","w","t","z","s","k","w","o","u","w","o","p","r","v","m"
"1606","e","c","f","n","f","f","n","w","b","n","t","c","s","f","w","w","p","y","o","z","k","c","u"
"1607","e","f","s","y","f","f","f","w","b","k","t","e","s","s","o","o","p","w","o","s","r","c","u"
"1608","e","x","s","n","f","c","f","w","b","n","t","u","s","s","c","c","p","y","o","e","n","s","w"
"1609","e","k","f","u","t","p","d","c","b","p","e","b","s","s","w","w","p","o","o","f","n","v","w"
"1610","e","x","f","n","t","n","a","c","b","k","e","e","f","f","e","e","p","w","b","e","n","a","u"
"1611","e","x","f","n","f","c","n","d","b","k","t","e","f","s","w","c","p","y","t","e","b","n","g"
"1612","e","f","s","w","f","f","n","w","n","w","t","e","s","f","o","w","u","w","o","c","h","a","g"
"1613","e","x","s","b","f","n","n","c","n","n","t","c","s","s","o","w","u","w","o","p","k","c","u"
"1614","p","b","s","w","t","y","d","c","n","o","e","e","s","y","g","w","p","o","o","p","k","s","g"
"1615","p","s","y","g","f","p","f","d","n","p","t","r","k","s","c","w","p","w","o","p","n","y","g"
"1616","e","c","f","n","t","n","a","c","b","p","t","b","s","f","w","g","p","w","o","p","k","v","d"
"1617","e","x","s","w","f","n","f","w","b","n","t","e","s","s","w","b","u","y","o","z","n","c","g"
"1618","e","k","f","r","f","n","n","w","b","k","t","e","s","s","w","w","p","w","o","e","w","v","u"
"1619","e","f","f","n","t","n","f","c","b","h","t","e","s","f","w","e","p","n","b","e","u","s","u"
"1620","e","k","g","u","f","p","d","w","b","h","e","z","f","y","w","w","p","w","o","l","w","s","g"
"1621","e","x","s","g","f","n","f","w","b","n","t","e","s","s","w","b","u","y","o","e","n","s","d"
"1622","e","b","f","g","f","n","f","c","n","n","t","b","f","k","w","e","u","w","b","p","u","a","m"
"1623","e","f","s","r","f","y","f","w","n","k","t","e","s","k","w","g","p","w","b","e","n","a","g"
"1624","e","f","y","u","f","n","n","w","b","g","t","z","s","s","w","o","p","y","o","s","k","v","l"
"1625","e","x","f","e","f","p","n","w","n","n","t","c","s","s","p","w","u","y","o","z","w","c","g"
"1626","p","x","g","w","t","m","f","d","b","k","e","e","s","s","w","w","p","w","t","f","n","v","u"
"1627","e","x","s","r","f","c","n","w","n","u","t","u","f","s","w","c","u","w","t","s","b","s","g"
"1628","e","x","g","w","t","m","d","c","b","n","t","b","y","s","p","p","p","o","t","l","o","n","d"
"1629","p","f","s","n","t","m","n","c","n","r","t","e","s","s","p","p","p","y","t","z","n","y","u"
"1630","p","s","f","w","t","p","a","c","b","r","e","e","s","f","w","p","p","n","t","p","o","y","d"
"1631","p","k","s","w","f","l","f","w","n","w","t","z","s","s","w","b","p","w","o","p","n","s","d"
"1632","e","b","y","w","f","a","f","c","n","o","t","e","k","f","w","w","u","w","b","p","k","a","g"
"1633","e","f","g","e","f","s","f","d","b","h","e","r","y","y","y","w","p","w","t","l","y","s","m"
"1634","e","f","f","r","f","n","n","w","n","g","t","e","f","f","w","w","u","y","o","n","k","y","g"
"1635","e","x","g","y","f","n","f","d","b","h","t","e","y","y","w","p","p","w","t","l","o","y","d"
"1636","e","c","y","n","f","l","f","w","b","n","t","e","s","k","b","b","p","w","o","p","k","a","d"
"1637","p","b","s","u","t","a","f","c","n","o","t","b","s","k","w","w","u","w","o","p","n","a","g"
"1638","p","f","y","w","t","m","f","d","n","n","t","u","s","s","p","p","p","w","t","n","k","n","g"
"1639","e","f","s","g","f","n","n","c","n","p","t","e","f","s","w","w","p","y","o","z","n","a","p"
"1640","e","x","f","n","t","f","f","w","b","k","t","e","f","f","w","o","p","w","o","e","k","a","g"
"1641","e","x","y","n","f","p","f","w","b","h","t","z","f","f","w","w","u","w","o","n","n","v","m"
"1642","e","k","y","u","f","n","f","c","n","g","t","z","k","k","o","g","u","w","o","p","r","v","u"
"1643","e","x","f","c","t","n","d","d","b","n","t","b","y","s","y","y","p","o","o","f","n","n","p"
"1644","e","k","s","u","f","n","n","w","b","p","t","z","s","s","o","w","u","y","o","e","r","v","d"
"1645","e","s","f","p","f","n","f","d","b","y","e","r","f","f","c","w","p","w","o","e","n","y","g"
"1646","e","x","f","w","f","l","n","w","b","g","t","z","s","f","b","w","p","w","o","e","k","v","g"
"1647","e","x","s","c","t","l","d","d","b","u","e","u","s","y","y","w","p","w","t","p","n","n","m"
"1648","e","c","s","g","f","n","n","w","b","p","t","c","s","s","w","w","u","y","o","z","n","c","g"
"1649","e","c","s","w","f","f","n","w","b","p","t","c","s","s","w","w","p","w","o","s","r","c","g"
"1650","e","x","f","n","f","s","f","d","b","r","t","r","s","f","y","y","p","n","o","c","y","s","p"
"1651","e","b","f","n","f","n","f","c","n","o","t","e","f","k","e","w","u","w","b","e","u","a","g"
"1652","e","x","s","w","t","f","f","w","b","n","t","e","s","y","w","w","p","o","o","l","n","s","g"
"1653","e","x","g","g","f","n","d","w","b","h","e","c","f","y","o","o","p","w","o","e","r","s","u"
"1654","e","f","s","g","f","y","a","w","b","h","e","e","f","s","w","w","p","w","o","c","h","s","d"
"1655","e","k","s","u","t","n","f","w","b","w","e","z","s","f","b","b","p","w","o","e","n","v","g"
"1656","e","s","s","w","t","n","d","d","b","p","e","r","s","s","y","y","p","w","t","l","n","y","g"
"1657","e","c","s","n","f","p","n","w","n","n","t","e","f","f","w","w","u","y","o","e","w","a","g"
"1658","e","k","y","w","f","n","f","w","n","g","t","z","k","s","o","o","u","w","o","p","r","v","g"
"1659","e","f","f","g","f","n","f","w","b","e","e","e","s","s","e","e","p","n","o","c","k","s","p"
"1660","e","x","g","w","f","n","f","w","b","y","e","r","s","s","c","w","p","o","t","e","b","a","g"
"1661","e","x","s","g","f","m","f","w","n","u","t","e","s","s","w","p","p","y","o","s","k","n","g"
"1662","e","x","f","e","f","l","n","w","b","p","t","e","s","f","b","b","p","w","o","z","k","c","d"
"1663","e","f","y","g","f","y","f","c","b","e","t","c","s","s","w","g","u","w","b","z","k","s","g"
"1664","e","b","y","y","t","a","f","c","n","n","e","b","k","k","n","w","u","w","b","p","k","a","d"
"1665","e","b","s","n","f","n","f","c","n","o","t","b","s","f","w","n","u","w","o","p","k","a","g"
"1666","p","x","y","g","t","y","d","c","b","k","e","e","y","y","g","g","p","w","o","f","k","s","g"
"1667","e","c","s","w","f","n","n","w","n","k","t","e","s","f","o","w","p","y","o","e","n","c","g"
"1668","p","x","y","y","f","p","f","c","n","e","t","e","s","k","w","w","u","w","o","p","k","s","g"
"1669","e","s","y","g","t","n","f","c","n","n","t","r","k","k","p","g","p","w","t","p","n","y","l"
"1670","p","f","f","b","t","p","a","c","n","e","e","e","s","f","w","w","p","n","o","e","u","s","d"
"1671","e","c","g","p","t","l","f","w","b","p","e","c","s","s","w","w","p","o","o","p","r","c","g"
"1672","e","f","g","b","t","a","f","c","b","n","e","e","s","s","n","n","p","w","b","p","n","n","m"
"1673","e","f","y","n","f","l","n","c","n","n","e","e","s","y","e","e","p","w","o","s","n","s","p"
"1674","e","x","g","y","f","n","f","w","b","h","e","e","s","y","e","w","p","w","o","l","n","s","w"
"1675","e","f","y","n","f","n","f","c","b","p","t","e","f","s","n","n","u","w","o","n","k","s","d"
"1676","e","f","s","g","f","n","f","w","n","h","t","e","s","s","w","n","p","y","b","z","k","a","g"
"1677","e","x","f","w","t","l","f","w","b","n","t","c","f","f","w","b","p","w","o","e","n","a","g"
"1678","e","f","s","n","f","y","n","w","b","h","t","e","s","s","g","w","u","y","o","e","h","s","g"
"1679","e","f","y","n","f","n","f","w","b","n","t","b","k","s","w","e","p","w","b","p","u","a","g"
"1680","e","f","s","g","f","n","f","w","n","h","t","e","k","f","w","w","u","w","b","e","k","s","p"
"1681","e","b","s","w","t","l","a","c","b","w","e","z","s","f","w","w","p","w","o","c","w","v","g"
"1682","e","x","y","g","f","f","f","w","b","w","t","z","s","k","o","o","u","w","o","p","k","v","g"
"1683","e","b","s","y","t","y","a","c","b","o","e","b","s","s","w","w","p","n","o","p","k","a","p"
"1684","p","k","y","c","t","p","a","c","b","k","e","b","f","f","w","w","p","w","b","e","k","a","u"
"1685","e","k","s","w","f","p","f","w","b","p","t","z","s","s","w","w","u","y","o","s","k","v","g"
